DepMap_ID
A2ML1 (144568) Exp
ABCB7 (22) Exp
ABRAXAS1 (84142) Exp
ACADM (34) Exp
ACRBP (84519) Exp
ADA (100) Exp
ADAD2 (161931) Exp
ADAT2 (134637) Exp
ADCY4 (196883) Exp
ADGRG5 (221188) Exp
ADORA2A (135) Exp
AFMID (125061) Exp
AGAP2 (116986) Exp
AGL (178) Exp
AGO3 (192669) Exp
AIF1 (199) Exp
ALDH5A1 (7915) Exp
ALKBH1 (8846) Exp
ALMS1 (7840) Exp
ALOX12B (242) Exp
ALOX15 (246) Exp
ANKRD46 (157567) Exp
ANKRD49 (54851) Exp
ANKRD65 (441869) Exp
ANP32A (8125) Exp
ANP32B (10541) Exp
ANP32E (81611) Exp
AP4B1 (10717) Exp
AQP3 (360) Exp
ARFGAP2 (84364) Exp
ARHGAP19 (84986) Exp
ARHGAP25 (9938) Exp
ARHGAP30 (257106) Exp
ARHGAP4 (393) Exp
ARHGAP45 (23526) Exp
ARHGDIB (397) Exp
ARID1A (8289) Exp
ARID2 (196528) Exp
ARID3A (1820) Exp
ARID3B (10620) Exp
ARL11 (115761) Exp
ARMH2 (101928603) Exp
ARRB2 (409) Exp
ATAD2 (29028) Exp
ATAD2B (54454) Exp
ATAD5 (79915) Exp
ATF7IP2 (80063) Exp
ATG4C (84938) Exp
ATP1A3 (478) Exp
ATP23 (91419) Exp
ATP2A3 (489) Exp
ATP6V0A2 (23545) Exp
ATPAF2 (91647) Exp
ATXN3 (4287) Exp
ATXN7L2 (127002) Exp
AUNIP (79000) Exp
BAZ1A (11177) Exp
BCAT1 (586) Exp
BCL11A (53335) Exp
BCL11B (64919) Exp
BCL2L12 (83596) Exp
BCL7A (605) Exp
BCOR (54880) Exp
BIN2 (51411) Exp
BLM (641) Exp
BORA (79866) Exp
BRD7 (29117) Exp
BTG2 (7832) Exp
BTK (695) Exp
BUB1 (699) Exp
BUB1B (701) Exp
BUD13 (84811) Exp
C10orf71 (118461) Exp
C19orf38 (255809) Exp
C19orf84 (147646) Exp
C1orf74 (148304) Exp
C2CD5 (9847) Exp
C7orf61 (402573) Exp
CAMKMT (79823) Exp
CAMKV (79012) Exp
CAPN11 (11131) Exp
CARMIL2 (146206) Exp
CBFA2T3 (863) Exp
CBFB (865) Exp
CCDC138 (165055) Exp
CCDC17 (149483) Exp
CCDC63 (160762) Exp
CCDC69 (26112) Exp
CCDC88C (440193) Exp
CCNA2 (890) Exp
CCNB1IP1 (57820) Exp
CCNB2 (9133) Exp
CCND2 (894) Exp
CCNK (8812) Exp
CD37 (951) Exp
CD38 (952) Exp
CD4 (920) Exp
CD5 (921) Exp
CD86 (942) Exp
CD8A (925) Exp
CDC14A (8556) Exp
CDC25A (993) Exp
CDC7 (8317) Exp
CDCA4 (55038) Exp
CDCA7 (83879) Exp
CDCA8 (55143) Exp
CDH23 (64072) Exp
CDK1 (983) Exp
CDT1 (81620) Exp
CEACAM21 (90273) Exp
CEBPE (1053) Exp
CENPC (1060) Exp
CENPV (201161) Exp
CEP128 (145508) Exp
CEP135 (9662) Exp
CEP192 (55125) Exp
CEP57 (9702) Exp
CEP76 (79959) Exp
CEP83 (51134) Exp
CEP85 (64793) Exp
CES4A (283848) Exp
CHAC2 (494143) Exp
CHD4 (1108) Exp
CHEK1 (1111) Exp
CHEK2 (11200) Exp
CKB (1152) Exp
CKM (1158) Exp
CLC (1178) Exp
CLEC4G (339390) Exp
CLNS1A (1207) Exp
CNBD2 (140894) Exp
CNBP (7555) Exp
CNOT1 (23019) Exp
CNOT10 (25904) Exp
CNOT6L (246175) Exp
CNR2 (1269) Exp
CNTRL (11064) Exp
COCH (1690) Exp
COL23A1 (91522) Exp
COL9A2 (1298) Exp
COMMD3 (23412) Exp
COPS3 (8533) Exp
CORO1A (11151) Exp
CPEB3 (22849) Exp
CPSF3 (51692) Exp
CPSF7 (79869) Exp
CRACR2A (84766) Exp
CRIP1 (1396) Exp
CRLF3 (51379) Exp
CRY2 (1408) Exp
CRYBA4 (1413) Exp
CRYBB1 (1414) Exp
CSK (1445) Exp
CTC1 (80169) Exp
CTCF (10664) Exp
CTDSPL2 (51496) Exp
CTRL (1506) Exp
CUX2 (23316) Exp
CXCR2 (3579) Exp
CYBB (1536) Exp
CYP2R1 (120227) Exp
CYP4F22 (126410) Exp
CYSLTR1 (10800) Exp
DAPP1 (27071) Exp
DBF4 (10926) Exp
DBP (1628) Exp
DCAF11 (80344) Exp
DCAF15 (90379) Exp
DCK (1633) Exp
DCP2 (167227) Exp
DDHD1 (80821) Exp
DDI2 (84301) Exp
DDN (23109) Exp
DDX20 (11218) Exp
DDX28 (55794) Exp
DDX39B (7919) Exp
DDX6 (1656) Exp
DEF6 (50619) Exp
DEGS2 (123099) Exp
DENND1C (79958) Exp
DENND2C (163259) Exp
DGKE (8526) Exp
DICER1 (23405) Exp
DKC1 (1736) Exp
DLGAP5 (9787) Exp
DMC1 (11144) Exp
DNAAF2 (55172) Exp
DNMT3B (1789) Exp
DOCK8 (81704) Exp
DOK2 (9046) Exp
DPEP2 (64174) Exp
DPF2 (5977) Exp
DSCC1 (79075) Exp
DUOX1 (53905) Exp
DUOX2 (50506) Exp
DUS2 (54920) Exp
E2F2 (1870) Exp
E2F8 (79733) Exp
EAF2 (55840) Exp
EBAG9 (9166) Exp
EEF1AKMT2 (399818) Exp
EEF1B2 (1933) Exp
EEF1G (1937) Exp
EIF3E (3646) Exp
EIF3L (51386) Exp
EIF4EBP2 (1979) Exp
ELAPOR2 (222223) Exp
ELF2 (1998) Exp
ELMO1 (9844) Exp
ELP4 (26610) Exp
EPC1 (80314) Exp
EPX (8288) Exp
ERH (2079) Exp
EVL (51466) Exp
EXOSC8 (11340) Exp
EYA3 (2140) Exp
FABP5 (2171) Exp
FAM135A (57579) Exp
FAM241A (132720) Exp
FAM76B (143684) Exp
FAM78A (286336) Exp
FANCE (2178) Exp
FANCM (57697) Exp
FASTKD1 (79675) Exp
FAU (2197) Exp
FBL (2091) Exp
FBXO34 (55030) Exp
FBXO40 (51725) Exp
FBXO5 (26271) Exp
FBXW7 (55294) Exp
FCER2 (2208) Exp
FCHO1 (23149) Exp
FCHSD2 (9873) Exp
FDXACB1 (91893) Exp
FERMT3 (83706) Exp
FGD2 (221472) Exp
FGD3 (89846) Exp
FGF11 (2256) Exp
FGF8 (2253) Exp
FGR (2268) Exp
FKBP5 (2289) Exp
FOXN3 (1112) Exp
FRAT2 (23401) Exp
FUBP1 (8880) Exp
GABPB1 (2553) Exp
GABRB2 (2561) Exp
GALNT8 (26290) Exp
GAN (8139) Exp
GEMIN2 (8487) Exp
GFI1 (2672) Exp
GFOD1 (54438) Exp
GFY (100507003) Exp
GH1 (2688) Exp
GIMAP1 (170575) Exp
GLMN (11146) Exp
GLRX5 (51218) Exp
GMEB1 (10691) Exp
GMFG (9535) Exp
GNA15 (2769) Exp
GNL2 (29889) Exp
GP9 (2815) Exp
GPBP1L1 (60313) Exp
GPLD1 (2822) Exp
GPR132 (29933) Exp
GPR171 (29909) Exp
GPR174 (84636) Exp
GPR182 (11318) Exp
GPX7 (2882) Exp
GRIN2D (2906) Exp
GRK2 (156) Exp
GRK3 (157) Exp
GSC2 (2928) Exp
GSDMB (55876) Exp
GTF2B (2959) Exp
GTSF1 (121355) Exp
GUCA1B (2979) Exp
H1-3 (3007) Exp
H1-5 (3009) Exp
H2AC11 (8969) Exp
H2AC17 (8336) Exp
H2AC7 (3013) Exp
H2AC8 (3012) Exp
H2BC14 (8342) Exp
H2BC17 (8348) Exp
H2BC8 (8339) Exp
H3C10 (8357) Exp
H3C12 (8356) Exp
H3C2 (8358) Exp
H3C4 (8351) Exp
H3C7 (8968) Exp
H4C3 (8364) Exp
H4C5 (8367) Exp
H4C9 (8294) Exp
HAAO (23498) Exp
HASPIN (83903) Exp
HAUS1 (115106) Exp
HAUS4 (54930) Exp
HCK (3055) Exp
HCLS1 (3059) Exp
HDAC1 (3065) Exp
HECA (51696) Exp
HELB (92797) Exp
HELLS (3070) Exp
HENMT1 (113802) Exp
HESX1 (8820) Exp
HEYL (26508) Exp
HIC2 (23119) Exp
HMGB1 (3146) Exp
HMGB2 (3148) Exp
HMGN2 (3151) Exp
HNRNPA1 (3178) Exp
HNRNPA1L2 (144983) Exp
HNRNPC (3183) Exp
HNRNPD (3184) Exp
HNRNPH3 (3189) Exp
HSD17B6 (8630) Exp
ICAM2 (3384) Exp
ICAM5 (7087) Exp
IKZF1 (10320) Exp
IKZF2 (22807) Exp
IKZF3 (22806) Exp
IKZF5 (64376) Exp
IL10RA (3587) Exp
IL12RB2 (3595) Exp
IL16 (3603) Exp
IL27RA (9466) Exp
IL9R (3581) Exp
INHBC (3626) Exp
INKA1 (389119) Exp
INPP5B (3633) Exp
