DepMap_ID,ARHGAP29 (9411) Exp,BCAR3 (8412) Exp,CCND1 (595) Exp,CDK6 (1021) Exp,CFLAR (8837) Exp,EGFR (1956) Exp,FERMT2 (10979) Exp,FOSL1 (8061) Exp,GRHL2 (79977) Exp,HNF1B (6928) Exp,ITGAV (3685) Exp,ITGB5 (3693) Exp,KLF5 (688) Exp,MDM2 (4193) Exp,MYC (4609) Exp,SNAI2 (6591) Exp,TIPARP (25976) Exp,WWTR1 (25937) Exp,YAP1 (10413) Exp,ZEB1 (6935) Exp,ZEB2 (9839) Exp,ZFP36L1 (677) Exp,EIF2AK3 (9451) Dep,MYC (4609) Dep,NQO1 (1728) Dep,SF3B1 (23451) Dep,SQSTM1 (8878) Dep
ACH-000001,7.570994128743229,3.40735275114004,7.437876885529242,4.689299160535892,3.857980995127572,4.303780748177103,4.574707046415546,1.7398481026993275,4.307428525192248,0.01435529297707,6.04592343960255,7.804131021183318,5.749534267669262,4.208673319629471,4.820689560559215,0.0976107966264223,3.533563348214512,5.405992359675837,4.9818526532897405,0.1243281350022017,0.2265085298086797,5.612057559563064,0.0185456912563061,0.8074136424123184,0.0766131046828569,1.0,0.0206573641130847
ACH-000004,0.1890338243900171,0.4750848829487828,1.0565835283663676,4.207111961207714,5.255123014847789,0.0976107966264223,3.229587922740652,4.746850183098051,0.0285691521967709,0.0285691521967709,3.41006969175638,5.363171077119244,0.5360529002402097,3.932628157022127,8.787445524776416,0.070389327891398,2.5084286525318573,0.3103401206121505,0.1505596765753814,0.1763227726404629,6.326609251005271,4.339850002884624,0.0449070850262781,0.9999853415419256,0.0616165302226076,1.0,0.0493853153785747
ACH-000005,0.2630344058337938,0.3448284969974411,2.2957230245399685,5.147306698780294,5.192194165283345,0.0976107966264223,3.552131108253784,3.885574364371426,0.0426443374084937,0.0285691521967709,4.23342794374847,5.17672169288105,1.111031312388744,4.9941271140031285,9.105620464474152,0.0285691521967709,3.986410935252045,0.6870606883398922,0.2016338611696504,0.5558161550616396,6.549207089355683,4.2024177215751815,0.0093009261715188,1.0,0.0495346507781479,0.9940039462663288,0.015968900006185
ACH-000007,1.8559896973084808,2.327687364176047,5.198494153639083,3.382667252745041,3.485426827170241,3.745237332129749,0.0285691521967709,4.008092420948722,3.2839217723076177,2.9392265777282085,3.14893410452634,5.061344188288391,6.938521045865967,5.155425431747197,7.170125361839952,0.0565835283663675,3.311793717753649,0.0840642647884745,5.324090516037983,0.6507645591169022,0.070389327891398,6.787641414483327,0.0588683622943401,0.9996200233157604,0.0369024774227117,0.9998864909544052,0.0417062190355165
ACH-000009,3.63575439127776,2.204766750654613,7.428611418467134,4.651338766105931,6.191996846669772,4.167518503735217,4.758089934201813,3.893362210763872,4.43028527297778,3.745237332129749,5.762348815644129,6.059182199211692,6.133193598664106,4.266786540694901,6.685800019744892,0.1243281350022017,3.5801454844233804,4.2964574073712445,7.003039979749236,0.070389327891398,0.1110313123887439,4.984589350362456,0.0405899337205411,0.9798278113473832,0.0066017183861917,0.9735982051138052,0.0345346019350631
ACH-000011,5.631104282365877,4.149747119504682,4.1440463696167065,4.531693360861466,5.5163303868259375,4.878234879112339,4.078097423026661,3.463360885816658,0.0426443374084937,4.8494989317201815,5.128045890922992,6.738497643889787,2.611172380044005,4.989593184938768,6.47735352663456,0.1243281350022017,4.789729251375769,7.45762712179055,4.627606838129649,3.075532631167357,2.797012977836145,7.421644094048272,0.0375101332987156,0.9950916330671128,0.1151129556013443,0.9205131180271932,0.1246445409867742
ACH-000012,5.620879611355415,5.844486087757799,6.990841436516996,4.718635616271338,5.933808661990121,9.67350342432539,4.971313624068879,7.7772881967554595,3.831877241191673,4.544114402209474,5.752481004456373,5.309612772454123,4.646738698307846,3.305970520984386,8.053654417603145,3.7897292513757694,4.893362210763872,5.945560885993885,5.804518269888069,1.7398481026993275,0.8875252707415875,7.277426896532659,0.0837335838960561,0.9993350323435132,0.1130160447850172,0.970794973266042,0.0412349811223056
ACH-000013,7.939814257495547,2.778208576398088,7.663059923747817,4.169123281476757,4.305970520984387,5.638363505897862,4.025028794491522,1.565597175854225,3.880685525261125,0.0840642647884745,5.471187460386985,7.721441019070326,5.000901402741532,4.145677455195635,4.395062799517578,0.0426443374084937,2.956056652412403,5.476057595677545,4.4950555283680185,0.137503523749935,0.3103401206121505,4.997292407636508,0.03181287080567,0.9505165926354656,0.1218421945804705,0.9998613103472472,0.0239033060677588
ACH-000014,1.7990873060740036,4.454175893185802,6.114367024952,3.6599245584023774,4.409390936137702,2.7441610955704103,3.981852653289741,6.077670274232752,0.01435529297707,0.0285691521967709,6.045268215138534,7.71087529578098,3.289834465177509,6.682854168572234,3.965322548367255,4.1034976397033365,4.280956313831056,7.296182057615491,6.030115330908071,2.1473066987802936,6.541638734436141,5.608809242675524,0.0704402433493701,0.9535480320859682,0.340084617964238,0.998874504771678,0.0794332336570689
ACH-000015,0.1243281350022017,1.3895668117627256,5.806066226089032,4.318316841334983,4.428276414392509,0.1110313123887439,5.38404980679516,3.1747259877061333,0.0426443374084937,0.0285691521967709,5.758889432720965,4.778208576398088,0.2016338611696504,4.747924416238441,6.260402093025793,0.070389327891398,2.3362833878644325,2.6803243568440163,5.84749588378871,2.5084286525318573,3.45022149589718,6.176322772640463,0.0124434355268074,0.9999998920233768,0.0113655393664798,0.9975668834101392,0.0512800862433577
ACH-000017,3.654206377944292,4.297191416565856,6.465811254476078,2.3757345385831563,3.9523335663696857,4.363171077119244,4.297925052503806,0.5058909297299572,3.40735275114004,0.0285691521967709,3.838951766951943,7.229491791137026,2.62760683812965,4.260778431893426,6.553514104085101,0.070389327891398,3.361768359419153,2.8875252707415875,4.654779216959517,0.0285691521967709,0.0976107966264223,6.165510018041353,0.0469881504112493,0.998983064805982,0.2502735980760293,0.9999895017123248,0.0625223152828205
ACH-000018,6.478486512084187,6.639666295869301,8.908542737317342,3.607626220845488,4.433627167084783,5.104755986962257,5.73308313184512,8.3524848869497,0.0426443374084937,3.542258049766918,4.683134985126093,6.690556776516347,5.081936081719432,5.2471680003747725,5.859224161978204,3.7897292513757694,3.951401291674311,5.880195728943098,6.843732656611305,3.605257262939004,3.502075956045791,6.575614877619633,0.0187927477917376,0.999355245448392,0.1010036868642486,0.999802624088402,0.0121114414468739
ACH-000019,1.7398481026993275,2.9011082430145123,7.950351762034361,0.4750848829487828,4.490570130446201,0.2630344058337938,3.2735158897021166,0.6229303509201767,5.075104722209486,0.01435529297707,4.324090516037983,7.595667756537432,2.9467308601403097,5.531069492725954,5.415826257472914,0.1505596765753814,2.6530600171045644,2.729008870337863,3.817623257511431,0.1243281350022017,0.1243281350022017,5.292781749227846,0.0345379491301073,0.9999915236247598,0.0236172926268357,0.9999999964752349,0.031876815342758
ACH-000021,4.866907978143166,4.82273014794452,6.318136041154173,3.865918814552213,6.203984165855989,5.357903838552492,5.011674533380918,4.872828759534886,3.521050736900963,0.0285691521967709,4.871350840634026,3.982765462583646,3.842978831788325,3.990954860396993,4.594548549550354,3.583759753639499,3.974529312483882,3.2957230245399685,6.0114509117357535,2.469885976274464,1.922197848396367,5.662775171937776,0.0654183769725618,0.4607469443347384,0.04597113879331,0.958947151239832,0.035930642862966
ACH-000022,1.803227036434928,3.304511041809953,5.558267634055736,3.2433644256936605,5.335926240928362,3.4828482830684653,1.7004397181410922,3.748461233004035,4.18824265626441,3.357552004618084,4.455491620628468,6.6760981209122185,6.566662962962611,4.645586385913608,6.311067102255596,0.01435529297707,3.2675357980687347,3.0669502439246266,5.649328040984784,0.2509615735332188,0.2265085298086797,5.719457274598753,0.0302298004555703,0.9992849360621578,0.0576156393849377,0.9600742160705648,0.0387207247098616
