DepMap_ID
A2ML1 (144568) Exp
A3GALT2 (127550) Exp
A4GNT (51146) Exp
AACS (65985) Exp
AADAC (13) Exp
AADACL2 (344752) Exp
AADACL4 (343066) Exp
AAGAB (79719) Exp
AAK1 (22848) Exp
AAMP (14) Exp
AAR2 (25980) Exp
AARD (441376) Exp
AARS1 (16) Exp
AARS2 (57505) Exp
AARSD1 (80755) Exp
AASDHPPT (60496) Exp
AATF (26574) Exp
ABCA1 (19) Exp
ABCA10 (10349) Exp
ABCA12 (26154) Exp
ABCA13 (154664) Exp
ABCA5 (23461) Exp
ABCA6 (23460) Exp
ABCA9 (10350) Exp
ABCB11 (8647) Exp
ABCB5 (340273) Exp
ABCB7 (22) Exp
ABCB8 (11194) Exp
ABCB9 (23457) Exp
ABCC1 (4363) Exp
ABCC10 (89845) Exp
ABCC11 (85320) Exp
ABCC12 (94160) Exp
ABCC2 (1244) Exp
ABCC5 (10057) Exp
ABCD3 (5825) Exp
ABCE1 (6059) Exp
ABCF1 (23) Exp
ABCF2 (10061) Exp
ABCF3 (55324) Exp
ABCG1 (9619) Exp
ABCG2 (9429) Exp
ABCG5 (64240) Exp
ABCG8 (64241) Exp
ABHD10 (55347) Exp
ABHD11 (83451) Exp
ABHD12B (145447) Exp
ABHD13 (84945) Exp
ABHD14B (84836) Exp
ABHD16B (140701) Exp
ABHD17C (58489) Exp
ABHD18 (80167) Exp
ABHD2 (11057) Exp
ABHD3 (171586) Exp
ABHD5 (51099) Exp
ABHD6 (57406) Exp
ABI1 (10006) Exp
ABITRAM (54942) Exp
ABLIM2 (84448) Exp
ABLIM3 (22885) Exp
ABR (29) Exp
ABRACL (58527) Exp
ABRAXAS2 (23172) Exp
ABT1 (29777) Exp
ABTB1 (80325) Exp
ABTB2 (25841) Exp
ACAA1 (30) Exp
ACACA (31) Exp
ACACB (32) Exp
ACAD10 (80724) Exp
ACAD11 (84129) Exp
ACAD8 (27034) Exp
ACAD9 (28976) Exp
ACADM (34) Exp
ACADS (35) Exp
ACADSB (36) Exp
ACADVL (37) Exp
ACAN (176) Exp
ACAP2 (23527) Exp
ACAT1 (38) Exp
ACBD3 (64746) Exp
ACBD4 (79777) Exp
ACBD6 (84320) Exp
ACBD7 (414149) Exp
ACCS (84680) Exp
ACCSL (390110) Exp
ACD (65057) Exp
ACE2 (59272) Exp
ACER1 (125981) Exp
ACER2 (340485) Exp
ACER3 (55331) Exp
ACIN1 (22985) Exp
ACKR2 (1238) Exp
ACKR4 (51554) Exp
ACLY (47) Exp
ACO2 (50) Exp
ACOD1 (730249) Exp
ACOT1 (641371) Exp
ACOT11 (26027) Exp
ACOT12 (134526) Exp
ACOT7 (11332) Exp
ACOT8 (10005) Exp
ACOX1 (51) Exp
ACOXL (55289) Exp
ACP1 (52) Exp
ACP3 (55) Exp
ACP5 (54) Exp
ACP6 (51205) Exp
ACP7 (390928) Exp
ACRBP (84519) Exp
ACRV1 (56) Exp
ACSBG1 (23205) Exp
ACSF2 (80221) Exp
ACSF3 (197322) Exp
ACSL1 (2180) Exp
ACSL3 (2181) Exp
ACSL4 (2182) Exp
ACSL5 (51703) Exp
ACSM1 (116285) Exp
ACSM2A (123876) Exp
ACSM3 (6296) Exp
ACSM4 (341392) Exp
ACSM5 (54988) Exp
ACSM6 (142827) Exp
ACSS1 (84532) Exp
ACTA1 (58) Exp
ACTA2 (59) Exp
ACTB (60) Exp
ACTG2 (72) Exp
ACTL6A (86) Exp
ACTL8 (81569) Exp
ACTL9 (284382) Exp
ACTN1 (87) Exp
ACTN2 (88) Exp
ACTR3B (57180) Exp
ACTR5 (79913) Exp
ACTR6 (64431) Exp
ACTRT2 (140625) Exp
ACTRT3 (84517) Exp
ACVR1C (130399) Exp
ACY1 (95) Exp
ACY3 (91703) Exp
ACYP1 (97) Exp
ACYP2 (98) Exp
ADA (100) Exp
ADA2 (51816) Exp
ADAD2 (161931) Exp
ADAL (161823) Exp
ADAM10 (102) Exp
ADAM11 (4185) Exp
ADAM15 (8751) Exp
ADAM17 (6868) Exp
ADAM20 (8748) Exp
ADAM29 (11086) Exp
ADAM8 (101) Exp
ADAMTS17 (170691) Exp
ADAMTS18 (170692) Exp
ADAMTS20 (80070) Exp
ADAMTS4 (9507) Exp
ADAMTS7 (11173) Exp
ADAMTSL4 (54507) Exp
ADAMTSL5 (339366) Exp
ADAP1 (11033) Exp
ADAR (103) Exp
ADAT1 (23536) Exp
ADAT2 (134637) Exp
ADAT3 (113179) Exp
ADCK1 (57143) Exp
ADCK2 (90956) Exp
ADCY1 (107) Exp
ADCY3 (109) Exp
ADCY4 (196883) Exp
ADCY7 (113) Exp
ADGRA3 (166647) Exp
ADGRB1 (575) Exp
ADGRE1 (2015) Exp
ADGRE2 (30817) Exp
ADGRE3 (84658) Exp
ADGRE5 (976) Exp
ADGRF1 (266977) Exp
ADGRF3 (165082) Exp
ADGRF4 (221393) Exp
ADGRG1 (9289) Exp
ADGRG3 (222487) Exp
ADGRG5 (221188) Exp
ADGRG6 (57211) Exp
ADGRG7 (84873) Exp
ADGRL2 (23266) Exp
ADH1B (125) Exp
ADH7 (131) Exp
ADHFE1 (137872) Exp
ADIG (149685) Exp
ADIPOQ (9370) Exp
ADIPOR1 (51094) Exp
ADIPOR2 (79602) Exp
ADIRF (10974) Exp
ADK (132) Exp
ADM2 (79924) Exp
ADM5 (199800) Exp
ADNP (23394) Exp
ADNP2 (22850) Exp
ADO (84890) Exp
ADORA2A (135) Exp
ADORA2B (136) Exp
ADPGK (83440) Exp
ADPRH (141) Exp
ADPRS (54936) Exp
ADRB1 (153) Exp
ADRB2 (154) Exp
ADRM1 (11047) Exp
ADSL (158) Exp
ADSS1 (122622) Exp
ADSS2 (159) Exp
ADTRP (84830) Exp
AEBP2 (121536) Exp
AEN (64782) Exp
AFAP1L1 (134265) Exp
AFAP1L2 (84632) Exp
AFDN (4301) Exp
AFG1L (246269) Exp
AFG3L2 (10939) Exp
AFM (173) Exp
AFMID (125061) Exp
AFTPH (54812) Exp
AGA (175) Exp
AGAP2 (116986) Exp
AGAP3 (116988) Exp
AGAP6 (414189) Exp
AGBL2 (79841) Exp
AGBL3 (340351) Exp
AGBL5 (60509) Exp
AGFG1 (3267) Exp
AGFG2 (3268) Exp
AGGF1 (55109) Exp
AGK (55750) Exp
AGMAT (79814) Exp
AGMO (392636) Exp
AGO1 (26523) Exp
AGO2 (27161) Exp
AGO3 (192669) Exp
AGO4 (192670) Exp
AGPAT1 (10554) Exp
AGPAT2 (10555) Exp
AGPAT3 (56894) Exp
AGPAT5 (55326) Exp
AGPS (8540) Exp
AGR2 (10551) Exp
AGR3 (155465) Exp
AGRN (375790) Exp
AGT (183) Exp
AGTPBP1 (23287) Exp
AGTRAP (57085) Exp
AGXT (189) Exp
AHCTF1 (25909) Exp
AHCY (191) Exp
AHCYL1 (10768) Exp
AHCYL2 (23382) Exp
AHI1 (54806) Exp
AHNAK (79026) Exp
AHNAK2 (113146) Exp
AHR (196) Exp
AHRR (57491) Exp
AHSA1 (10598) Exp
AHSG (197) Exp
AICDA (57379) Exp
AIF1L (83543) Exp
AIFM1 (9131) Exp
AIFM3 (150209) Exp
AIG1 (51390) Exp
AIM2 (9447) Exp
AIMP1 (9255) Exp
AIMP2 (7965) Exp
AIP (9049) Exp
AJM1 (389813) Exp
AK2 (204) Exp
AK3 (50808) Exp
AK6 (102157402) Exp
AK7 (122481) Exp
AK8 (158067) Exp
AK9 (221264) Exp
AKAP1 (8165) Exp
AKAP10 (11216) Exp
AKAP12 (9590) Exp
AKAP3 (10566) Exp
AKAP6 (9472) Exp
AKAP7 (9465) Exp
AKAP8 (10270) Exp
AKAP8L (26993) Exp
AKAP9 (10142) Exp
AKIRIN1 (79647) Exp
AKIRIN2 (55122) Exp
AKNA (80709) Exp
AKNAD1 (254268) Exp
AKR1A1 (10327) Exp
AKR1B1 (231) Exp
AKR1B10 (57016) Exp
AKR1B15 (441282) Exp
AKR1C2 (1646) Exp
AKR1C3 (8644) Exp
AKR1C4 (1109) Exp
AKR1D1 (6718) Exp
AKR1E2 (83592) Exp
AKR7A2 (8574) Exp
AKR7A3 (22977) Exp
AKT1 (207) Exp
AKT1S1 (84335) Exp
AKT2 (208) Exp
AKTIP (64400) Exp
ALAD (210) Exp
ALAS1 (211) Exp
ALAS2 (212) Exp
ALB (213) Exp
ALDH16A1 (126133) Exp
ALDH1A1 (216) Exp
ALDH1A3 (220) Exp
ALDH1L1 (10840) Exp
ALDH1L2 (160428) Exp
ALDH3A1 (218) Exp
ALDH3A2 (224) Exp
ALDH3B2 (222) Exp
ALDH4A1 (8659) Exp
ALDH5A1 (7915) Exp
ALDH9A1 (223) Exp
ALDOA (226) Exp
ALDOB (229) Exp
ALG1 (56052) Exp
ALG10 (84920) Exp
ALG10B (144245) Exp
ALG11 (440138) Exp
ALG12 (79087) Exp
ALG13 (79868) Exp
ALG1L (200810) Exp
ALG2 (85365) Exp
ALG3 (10195) Exp
ALG6 (29929) Exp
ALKBH1 (8846) Exp
ALKBH2 (121642) Exp
ALKBH3 (221120) Exp
ALKBH4 (54784) Exp
ALKBH6 (84964) Exp
ALKBH8 (91801) Exp
ALOX12 (239) Exp
ALOX12B (242) Exp
ALOX15 (246) Exp
ALOX15B (247) Exp
ALOX5 (240) Exp
ALOXE3 (59344) Exp
ALPK1 (80216) Exp
ALPK3 (57538) Exp
ALYREF (10189) Exp
AMACR (23600) Exp
AMBP (259) Exp
AMBRA1 (55626) Exp
AMD1 (262) Exp
AMDHD1 (144193) Exp
AMDHD2 (51005) Exp
AMFR (267) Exp
AMHR2 (269) Exp
AMIGO3 (386724) Exp
AMMECR1 (9949) Exp
AMMECR1L (83607) Exp
AMN1 (196394) Exp
AMTN (401138) Exp
AMY2A (279) Exp
AMZ2 (51321) Exp
ANAPC1 (64682) Exp
ANAPC10 (10393) Exp
ANAPC2 (29882) Exp
ANAPC5 (51433) Exp
ANAPC7 (51434) Exp
ANG (283) Exp
ANGEL1 (23357) Exp
ANGEL2 (90806) Exp
ANGPT2 (285) Exp
ANGPTL3 (27329) Exp
ANGPTL4 (51129) Exp
