DepMap_ID,AFAP1 (60312) Exp,AMOTL2 (51421) Exp,ARL14 (80117) Exp,ASH2L (9070) Exp,ATP6AP1 (537) Exp,ATP6AP2 (10159) Exp,BUD13 (84811) Exp,CCDC9B (388115) Exp,CDC26 (246184) Exp,CDKN1A (1026) Exp,CDKN1C (1028) Exp,CDKN2C (1031) Exp,CLDN7 (1366) Exp,DAB2IP (153090) Exp,DOK1 (1796) Exp,DROSHA (29102) Exp,EIF2S3 (1968) Exp,ENC1 (8507) Exp,EPHA2 (1969) Exp,FDXR (2232) Exp,GEMIN8 (54960) Exp,GLE1 (2733) Exp,GRB10 (2887) Exp,GSS (2937) Exp,ICE1 (23379) Exp,IGBP1 (3476) Exp,INTS10 (55174) Exp,INTS9 (55756) Exp,KIRREL1 (55243) Exp,LATS2 (26524) Exp,MED10 (84246) Exp,MED19 (219541) Exp,MRPL33 (9553) Exp,NKAP (79576) Exp,NKAPD1 (55216) Exp,NRP1 (8829) Exp,NSMCE4A (54780) Exp,NSRP1 (84081) Exp,NUAK2 (81788) Exp,NUP42 (11097) Exp,NUP58 (9818) Exp,PEDS1 (387521) Exp,PGM3 (5238) Exp,PHLDA3 (23612) Exp,PKP3 (11187) Exp,PLEKHN1 (84069) Exp,PLPP2 (8612) Exp,PRAG1 (157285) Exp,PROSER2 (254427) Exp,PTK6 (5753) Exp,PTPN14 (5784) Exp,PYCARD (29108) Exp,QPRT (23475) Exp,RAD1 (5810) Exp,RFTN1 (23180) Exp,RINT1 (60561) Exp,RNF113A (7737) Exp,RPA2 (6118) Exp,RPAIN (84268) Exp,RPL30 (6156) Exp,SESN3 (143686) Exp,SLC43A1 (8501) Exp,SLFN11 (91607) Exp,SRPRA (6734) Exp,ST6GALNAC2 (10610) Exp,STING1 (340061) Exp,TAF1D (79101) Exp,TMOD3 (29766) Exp,TSPAN5 (10098) Exp,UROD (7389) Exp,USE1 (55850) Exp,USPL1 (10208) Exp,UXT (8409) Exp,VMA21 (203547) Exp,VPS36 (51028) Exp,VPS53 (55275) Exp,WBP11 (51729) Exp,WTAP (9589) Exp,ZC3H13 (23091) Exp,EIF2AK3 (9451) Dep,MYC (4609) Dep,NQO1 (1728) Dep,SF3B1 (23451) Dep,SQSTM1 (8878) Dep
ACH-000001,5.688180358586926,8.685975178494683,0.7311832415722002,4.472487771462744,6.839581737286781,5.617651119427331,3.628773595201645,5.591858904987171,5.505255800932163,2.8298495598446904,4.38404980679516,1.565597175854225,7.196134880765161,4.989139007368233,2.389566811762726,6.013908845490639,6.964398632203184,5.596935142387232,7.42012865794161,3.901108243014512,3.919340082442013,4.921721947009604,4.116863757690899,5.124328135002202,4.210232990095849,4.9963887464476215,5.69292928642903,4.269781238274379,6.688879711473223,2.1602748314085933,5.889716891615078,4.630521963471638,8.132062677854384,3.84799690655495,4.176322772640463,0.5945485495503542,5.336640446408735,5.012121672712217,4.519164449806069,4.724104519866845,4.176322772640463,5.5453506448223,4.4202128906107845,5.234577959784565,5.854245054220128,2.563158130402808,6.023255352300303,2.558267634055736,3.090853430451113,0.5655971758542251,4.24412594328373,3.7037651787934096,6.2193621578077165,4.998646839005795,1.3950627995175775,4.238022517825721,3.5058909297299574,5.069100631922826,5.3995129241829645,11.321420808235342,2.2448870591235344,1.4059923596758368,1.4059923596758368,5.636334602442182,5.617944917420585,3.404630684217612,6.235918487562202,4.503984703897613,0.9411063109464316,6.296640944683481,3.8042601156347375,2.266036893995317,6.32930302481501,4.658782734012828,3.672425341971496,3.396433531250992,5.175125349657719,5.189033824390017,4.477029653013065,0.0185456912563061,0.8074136424123184,0.0766131046828569,1.0,0.0206573641130847
ACH-000004,0.4222330006830478,0.4646682670034443,0.0285691521967709,6.978767651036788,5.953265239014844,5.411765185006983,5.1626934322112366,2.411426245726465,4.891419186846079,1.1043366598147355,0.4956951626240688,6.081723090644876,0.3895668117627256,0.1763227726404629,5.635464198167884,6.147917191084018,7.477272565045219,4.529820946528695,0.1110313123887439,5.0103322832848205,3.0874628412503395,4.108524456778169,6.028348134189309,7.303689435474715,3.715893370547605,4.621758856709732,5.714795011118162,4.7414669864011465,1.811471030529836,3.734438666137167,6.139755975481314,3.817623257511431,7.55205423626544,3.3757345385831563,4.925999418556224,0.1763227726404629,5.1838834590322325,5.133399125417198,0.0976107966264223,5.652773284510777,5.642412772905056,3.452858964713811,3.500802053057157,0.2387868595871164,0.5558161550616396,0.0426443374084937,0.4646682670034443,0.0285691521967709,2.851998837112446,0.0565835283663675,0.933572638261024,4.362469888750209,5.280956313831056,4.613531652917927,4.89384755813292,3.269033146455237,4.475084882948782,7.239073383378907,5.884842093799463,12.93643550585387,1.2265085298086795,5.451211111832329,5.605257262939004,7.733015321685962,0.0,6.216842842837263,7.411002459617349,3.4329594072761065,3.6205864104518777,9.28584143414179,5.700439718141092,3.8011586560936985,7.141698448635685,3.877744249949002,4.827310943949667,2.8933622107638715,5.651051691178928,6.12391445900198,5.023698917266407,0.0449070850262781,0.9999853415419256,0.0616165302226076,1.0,0.0493853153785747
ACH-000005,0.9411063109464316,1.0071955014042038,0.0,7.372255648445787,5.14934066928622,5.685379551959075,5.738767836800191,2.411426245726465,5.638942668908808,1.111031312388744,0.4646682670034443,6.932864335305521,1.292781749227846,0.2750070474998698,5.472487771462744,6.312882955284356,7.362645217794709,5.067380578019059,0.3219280948873623,3.825785627464792,3.102658131363739,4.640389560054945,6.170726276131552,7.519950702504634,4.54101915313356,4.398487190018967,5.720552091605108,5.154210530588339,3.2854022188622483,3.884597920990065,5.853247167242152,3.6016965164809576,7.626439136697315,3.4208865749755315,5.404971223589166,0.6690267655096305,5.707911254185168,5.200849574637213,0.1243281350022017,5.726831217032493,6.406162478777607,3.448900951145128,4.287620044112067,0.1243281350022017,0.3895668117627256,0.0,0.3103401206121505,0.0426443374084937,3.526068811667588,0.0285691521967709,1.6870606883398924,4.434294617959925,5.056583528366367,5.340918270272116,3.725741156503952,4.139960569545456,4.090853430451113,7.801417365865913,5.705701496845794,12.493855449240822,2.114367024952,5.094236069845765,6.801546703356778,7.413543310997761,0.0565835283663675,5.238786859587116,8.159669547136703,4.270528942380718,4.053111336459563,9.483352267256002,5.279099802133753,4.281698250098829,6.705839705883682,4.454175893185802,4.896271848807375,3.261530815243406,6.208673319629471,6.774523529590232,5.43028527297778,0.0093009261715188,1.0,0.0495346507781479,0.9940039462663288,0.015968900006185
ACH-000007,2.8094144442358986,3.71699089440494,3.171527106038814,4.521678951603199,5.107269393592545,5.670443812122809,3.920293300211007,3.40735275114004,5.894817763307944,7.061668207389335,2.232660756790275,2.400537929583729,8.04018011040107,5.049195105622275,3.493134922305505,5.446917864866026,7.386724740799167,5.822985018546877,5.724377421606217,5.527946098908258,4.072963271555224,5.279099802133753,2.823749360308273,6.061344188288391,3.742006210866737,5.635464198167884,5.482525640767917,3.626439136697315,0.1110313123887439,1.996388746447621,5.336640446408735,3.7059779016825214,7.155931338769561,2.636914580355878,4.10936055940423,2.84799690655495,5.33735429849697,4.45022149589718,4.503984703897613,5.227278994468321,4.926948247949772,3.71918344048179,3.7224660244710894,5.289834465177509,6.584661907941469,3.19377174339668,7.157751136539652,3.765534746362977,1.541019153133559,4.213347281733441,1.9855004303048849,6.023698917266407,5.106850796450224,4.58796498888268,0.2630344058337938,3.883620816285671,4.094236069845765,5.4950555283680185,5.258895755075436,11.410186320725094,1.3617683594191536,3.324810603420484,0.0426443374084937,5.571676809970931,1.726831217032493,5.845490050944375,6.710668699674626,3.593353770980297,3.748461233004035,4.663913842115978,4.03738222200308,3.607626220845488,7.178117045706399,2.837943241891028,5.219168520462161,3.6005076453457856,4.496973580998276,5.173926931999809,4.957450336347116,0.0588683622943401,0.9996200233157604,0.0369024774227117,0.9998864909544052,0.0417062190355165
ACH-000009,3.662205499653616,6.70473366267406,1.82781902461732,5.2509615735332185,6.882398504053875,6.265474403232111,5.113950482422504,0.4541758931858021,5.853496703702325,2.485426827170241,0.9486008474933558,1.3561438102252754,7.09876903815488,3.1243281350022016,2.1984941536390834,5.756756451307274,7.3538525586861265,6.780310099043375,5.7636771418966,4.083213368248981,2.19534759832222,4.706530552538117,4.749534267669262,7.080018029089175,4.3826672527450405,5.229587922740652,5.511594541537413,3.794935662803536,5.442943495848728,4.0900065299038175,5.925287386770335,4.23112515787905,7.932805294359311,3.41006969175638,5.1586601753464985,5.748461233004035,6.162492036937525,4.648465443027314,4.49761236561836,5.007644030878014,5.447248568601776,5.786857696017215,6.041111535369152,2.899175630480513,6.274820737040401,2.204766750654613,4.078951341394822,4.617651119427331,4.8594726668519375,0.3448284969974411,4.387500406480984,0.2750070474998698,7.183288001209558,5.075532631167357,3.925999418556223,4.844486087757799,3.75702324650746,6.004726093589011,5.146899560343589,11.180219982170192,1.1953475983222193,4.575312330687437,0.0426443374084937,6.927540949589466,0.5753123306874368,0.2016338611696504,8.1494931015375,4.501439145158873,3.4329594072761065,5.61706334388818,3.9523335663696857,3.63575439127776,6.923981081750455,3.9717734471933728,4.446256229889564,3.775050541483175,6.347311316365285,6.415319248140376,4.90159099190337,0.0405899337205411,0.9798278113473832,0.0066017183861917,0.9735982051138052,0.0345346019350631
ACH-000011,2.3673710656485296,6.372429792334089,0.1505596765753814,3.6926503700355298,6.683836787465606,6.591110890742753,3.1602748314085933,3.097610796626422,5.311430455749743,7.681027527419368,0.5360529002402097,5.7546203116745325,0.3895668117627256,2.611172380044005,0.8399595874895318,4.841469999465799,7.633867091835625,3.0617761975866897,5.788163657037767,5.886793989975289,4.207892851641333,4.603477988254004,2.114367024952,5.978424465440858,3.257010618206024,6.088735246190284,4.97865326490861,2.596935142387232,6.8270568365001525,2.533563348214512,5.016139702655253,4.069530325162305,8.719457274598753,4.521678951603199,4.012568673503056,5.713695814843359,5.346247774082776,4.682011390800693,4.6656201640663815,4.802193216941825,3.867896463992655,4.67072705449947,4.744699314207836,5.90665012639538,1.8991756304805127,1.1953475983222193,0.4436066514756146,2.9068905956085187,4.116863757690899,0.3785116232537298,3.5801454844233804,5.163901213814542,7.6557095955185135,4.89287670006069,1.3561438102252754,4.203984165855989,4.130107178658833,4.606442228131607,5.996840647795369,11.217897130050302,1.3276873641760472,1.4698859762744636,0.137503523749935,6.192391456913176,0.137503523749935,0.2387868595871164,6.834154981401319,3.771885578515366,4.096767854714689,6.894332742277694,5.720278465233327,2.7311832415722,7.449973985810354,3.977279923499916,4.032982416699428,3.4892860226258766,4.764473550992666,4.496334513417112,3.553360503335328,0.0375101332987156,0.9950916330671128,0.1151129556013443,0.9205131180271932,0.1246445409867742
ACH-000012,2.935459747805289,5.873813198359088,4.534186139090097,3.9049657186840254,6.8494989317201815,5.985955754607509,3.71918344048179,4.004501392234941,5.397118409042582,3.7548875021634687,1.232660756790275,2.883620816285671,7.658354316774077,3.438292851579147,3.286881147788161,5.473786911614368,7.336729697238723,5.623223075896505,6.027684876937159,3.399171093819823,3.0125686735030555,4.820178962415188,4.596935142387232,6.05006629830629,4.000901402741532,5.931919390100041,4.934988201783478,3.669026765509631,5.38543103719352,2.4329594072761065,5.529820946528695,3.7246502717329673,8.031329024180659,4.053111336459563,4.39780296186249,5.867649406017757,4.282439805006387,4.480265122054463,4.294988267691446,5.424586226251101,4.751142324726947,4.247927513443585,4.214901910160696,4.870857864363762,6.016139702655253,3.319039815562536,5.203201156316611,3.5310694927259543,4.4121040446775694,1.918386234446348,3.867896463992655,0.2750070474998698,0.3785116232537298,4.355439197248685,1.4750848829487828,4.17951105027151,4.83035674741922,5.276868829976456,5.745506265869159,10.97742304090898,0.6959938131099002,0.2141248053528473,2.4168397419128294,5.848998430400023,0.2986583155645151,3.4154882710497003,7.139551352398794,4.754887502163468,4.460087240116833,7.112491635741861,4.820689560559215,2.073820233291672,5.765269520690589,4.514122260170708,3.2464080872463845,4.848998430400023,5.811727897803886,5.4886435398537845,3.991861930556323,0.0837335838960561,0.9993350323435132,0.1130160447850172,0.970794973266042,0.0412349811223056
ACH-000013,5.216454865144756,8.756356165975443,0.070389327891398,4.040015678847879,6.59350317242411,5.31397137105902,3.4776773275653072,5.110613805500896,4.853496703702325,1.1890338243900171,4.908812907739547,2.028569152196771,6.963011647599427,4.245647773636751,3.356143810225275,5.96254902292306,8.607515262796834,4.489286022625876,7.545891168032852,3.513490745588118,2.931683057059806,4.289834465177509,4.297191416565856,5.377123749129487,3.71259578044703,4.952799477899938,5.0259146987507926,3.6016965164809576,6.743622676067655,2.114367024952,6.089794727063991,4.333423733725192,8.056583528366367,3.786596361890807,3.96624587322494,0.5849625007211562,5.155830171556525,4.838447592548459,5.067810783789621,4.915998851738901,4.0,5.666756591884804,4.573495715495609,4.416164164733128,5.6895787255093255,1.3161457422933562,6.025693273680773,1.1763227726404628,3.2063306478710496,1.0496307677246008,3.20006486151431,1.4276061727818994,6.70376517879341,4.837943241891027,1.3276873641760472,3.763411574470007,3.593353770980297,4.800123352826528,5.535430914871279,11.050256801598987,1.7311832415722,1.4222330006830477,1.5310694927259538,5.946496941203293,5.831370587967541,3.442280035252584,5.871350840634026,3.6915341649192,0.8875252707415875,6.466790237803096,4.403949364232865,2.286881147788161,6.286511557664227,4.334139178838237,3.372952097911829,3.344828496997441,5.007644030878014,4.980025300238734,4.060912049587873,0.03181287080567,0.9505165926354656,0.1218421945804705,0.9998613103472472,0.0239033060677588
ACH-000014,4.535430914871279,4.802710219291343,0.2750070474998698,4.995936703504587,8.203641651472713,7.553360503335328,3.350497247084133,5.921007800452218,5.45450493755737,7.799799668133131,0.1505596765753814,5.227278994468321,0.5160151470036647,3.743084055549586,5.4252578719992135,6.18308946064076,7.157447996274298,5.401903471607959,6.525912260743351,4.939226577728209,3.0426443374084937,4.098453246309274,4.712045448553693,6.632413641137546,3.882643049361841,5.632559052117953,5.521364878446219,3.5801454844233804,6.985386576772025,3.192194165283345,6.104126950527225,4.57228336665041,8.190614860209497,3.951401291674311,4.221877081077034,5.5351198215998005,4.1906148602094975,5.125981653854716,1.516015147003665,5.29020320512607,4.932628157022127,5.67581593117227,5.106850796450224,8.523757961089702,1.3561438102252754,1.6088092426755238,4.12267271882414,2.6644828403646823,3.228049047884462,0.1505596765753814,3.805292455600712,4.287620044112067,5.855491443101874,4.735522177296538,1.8155754288625725,5.349436051713823,4.709290635723358,5.740927560318628,5.725195817226664,11.318768742682732,3.568032104771279,3.3405622690264134,4.073820233291672,7.150356580208341,5.664198369291911,4.584962500721156,6.163096138436012,2.956056652412403,3.1243281350022016,6.458283563635973,6.7034883496568245,3.572889668420581,7.031880365587182,4.73226919950145,3.906890595608519,4.20163386116965,5.263785613890803,5.512858954449976,5.15623479785027,0.0704402433493701,0.9535480320859682,0.340084617964238,0.998874504771678,0.0794332336570689
ACH-000015,0.7048719644563528,4.368069876532083,0.5558161550616396,6.131959822898301,6.629648044187436,5.929317594911761,4.532940288372874,0.3448284969974411,5.018812185742817,1.6276068381296498,2.1858665453113337,5.865671417648427,0.1110313123887439,2.538538163629804,4.152994605492435,6.832636887566866,7.42071818337442,0.3448284969974411,4.184280294419382,3.771885578515366,3.988230223060457,3.949534933017012,0.6040713236688608,6.519793486241101,4.581351247168778,4.964860664245848,4.877253453876608,3.6392321632492775,0.3673710656485294,2.992768430768924,6.238022517825721,4.866907978143166,7.897966431649445,4.178714641175443,4.174725987706133,1.570462931026041,6.51443791382931,5.205939832470884,0.8237493603082727,5.16430358309365,3.853995647176393,5.23687524536694,4.218781167784069,2.104336659814736,2.634593268445757,1.1826922975161902,3.408711861029429,0.1505596765753814,0.3219280948873623,0.5160151470036647,2.503348735167504,0.3219280948873623,6.285772093249838,5.179112900678563,0.1890338243900171,4.212569338850806,3.888499735514123,6.6089570522182886,5.76659516172927,12.689932472276404,0.1110313123887439,2.2234225499349374,3.4342946179599254,5.944155663440363,0.3219280948873623,0.1505596765753814,7.192194165283345,2.7506065048355923,0.3895668117627256,6.498570012544255,5.395062799517578,2.572889668420581,7.089688813982352,4.442943495848728,3.8135246892978105,3.187451054027326,5.083213368248981,5.925049964727359,3.7516779456875775,0.0124434355268074,0.9999998920233768,0.0113655393664798,0.9975668834101392,0.0512800862433577
