DepMap_ID,ARHGAP29 (9411) Exp,ARL4C (10123) Exp,BCAR1 (9564) Exp,BCAR3 (8412) Exp,BCL2 (596) Exp,BCL2L1 (598) Exp,CCND1 (595) Exp,CCND2 (894) Exp,CCND3 (896) Exp,CCNE1 (898) Exp,CD44 (960) Exp,CDH2 (1000) Exp,CDK6 (1021) Exp,CFLAR (8837) Exp,DOCK5 (80005) Exp,DOCK7 (85440) Exp,EGFR (1956) Exp,EP300 (2033) Exp,ERBB2 (2064) Exp,EVA1A (84141) Exp,FERMT2 (10979) Exp,FGFR1 (2260) Exp,FOSL1 (8061) Exp,GPX8 (493869) Exp,GRHL2 (79977) Exp,H3C3 (8352) Exp,HNF1B (6928) Exp,IRS1 (3667) Exp,IRS2 (8660) Exp,ITGAV (3685) Exp,ITGB3 (3690) Exp,ITGB5 (3693) Exp,JUN (3725) Exp,KLF5 (688) Exp,MDM2 (4193) Exp,MYC (4609) Exp,NEDD9 (4739) Exp,PARD6B (84612) Exp,PAX8 (7849) Exp,RAC1 (5879) Exp,RHD (6007) Exp,SNAI2 (6591) Exp,SOCS3 (9021) Exp,SOX9 (6662) Exp,SQSTM1 (8878) Exp,TEAD1 (7003) Exp,TEAD3 (7005) Exp,TFAP2A (7020) Exp,TGIF1 (7050) Exp,TIPARP (25976) Exp,TP63 (8626) Exp,TRIO (7204) Exp,TWIST1 (7291) Exp,VCL (7414) Exp,WWTR1 (25937) Exp,YAP1 (10413) Exp,ZEB1 (6935) Exp,ZEB2 (9839) Exp,ZFP36L1 (677) Exp,ZNF217 (7764) Exp,EIF2AK3 (9451) Dep,MYC (4609) Dep,NQO1 (1728) Dep,SF3B1 (23451) Dep,SQSTM1 (8878) Dep
ACH-000001,7.570994128743229,3.9231491804723087,4.506525779043123,3.40735275114004,0.903038270112912,6.933572638261024,7.437876885529242,0.0426443374084937,4.375734538583156,6.664198369291911,2.967168607532628,1.883620816285672,4.689299160535892,3.857980995127572,0.8155754288625725,4.525442506018121,4.303780748177103,4.324810603420484,4.991861930556323,4.391630261517429,4.574707046415546,4.733354340613827,1.7398481026993275,4.964860664245848,4.307428525192248,0.0,0.01435529297707,2.035623909730721,4.063502942306158,6.04592343960255,2.704871964456353,7.804131021183318,5.929080835242584,5.749534267669262,4.208673319629471,4.820689560559215,3.2524762141352173,3.137503523749935,8.241506540822835,7.283644019370923,0.1110313123887439,0.0976107966264223,4.362469888750209,3.07210580048042,7.886062338345599,5.416839741912829,4.2539892662307865,5.65219964830406,6.4307870508650105,3.533563348214512,0.2387868595871164,6.275379596253622,1.2141248053528475,6.352793829401169,5.405992359675837,4.9818526532897405,0.1243281350022017,0.2265085298086797,5.612057559563064,4.915998851738901,0.0185456912563061,0.8074136424123184,0.0766131046828569,1.0,0.0206573641130847
ACH-000004,0.1890338243900171,0.0840642647884745,0.2509615735332188,0.4750848829487828,1.3617683594191536,7.527398809088053,1.0565835283663676,4.017031080527841,9.091752717883114,3.258518924711301,5.281327329659484,0.137503523749935,4.207111961207714,5.255123014847789,3.867896463992655,4.096767854714689,0.0976107966264223,4.168321115739722,2.4776773275653072,0.3103401206121505,3.229587922740652,0.2868811477881615,4.746850183098051,0.8318772411916731,0.0285691521967709,0.5058909297299572,0.0285691521967709,0.0426443374084937,1.2078928516413328,3.41006969175638,5.510012465448515,5.363171077119244,1.5360529002402097,0.5360529002402097,3.932628157022127,8.787445524776416,0.963474123974886,0.4750848829487828,1.1375035237499351,6.428611418467134,6.158458216216766,0.070389327891398,4.5668151540108965,0.0285691521967709,6.10936055940423,0.0976107966264223,0.5260688116675876,0.2986583155645151,1.6461626571578936,2.5084286525318573,0.1634987322828795,4.786073551578548,0.0,3.988230223060457,0.3103401206121505,0.1505596765753814,0.1763227726404629,6.326609251005271,4.339850002884624,3.040892430646901,0.0449070850262781,0.9999853415419256,0.0616165302226076,1.0,0.0493853153785747
ACH-000005,0.2630344058337938,0.0976107966264223,0.2141248053528473,0.3448284969974411,2.5360529002402097,7.314787144358046,2.2957230245399685,5.2253520607761015,8.80238711453514,3.665620164066381,5.9233869155047145,0.1634987322828795,5.147306698780294,5.192194165283345,3.713695814843359,4.7527485914071335,0.0976107966264223,4.781884234541486,2.090853430451113,0.1634987322828795,3.552131108253784,0.3561438102252753,3.885574364371426,0.8559896973084807,0.0426443374084937,1.3504972470841332,0.0285691521967709,0.1505596765753814,1.097610796626422,4.23342794374847,6.372081483534501,5.17672169288105,1.613531652917927,1.111031312388744,4.9941271140031285,9.105620464474152,0.5753123306874368,0.8399595874895318,0.7311832415722002,6.904845328560796,6.3795516533654935,0.0285691521967709,3.794935662803536,0.0565835283663675,5.591260524621525,0.2630344058337938,0.5360529002402097,0.2868811477881615,2.2539892662307865,3.986410935252045,0.1634987322828795,4.992768430768924,0.0,5.580748491763774,0.6870606883398922,0.2016338611696504,0.5558161550616396,6.549207089355683,4.2024177215751815,3.782408564927373,0.0093009261715188,1.0,0.0495346507781479,0.9940039462663288,0.015968900006185
ACH-000007,1.8559896973084808,4.03738222200308,4.491211756003092,2.327687364176047,0.1505596765753814,6.578334948681608,5.198494153639083,4.442943495848728,4.533563348214512,3.0942360698457656,6.734709620225838,0.0285691521967709,3.382667252745041,3.485426827170241,3.114367024952,3.833902076669163,3.745237332129749,4.310340120612151,6.111865963867557,0.0285691521967709,0.0285691521967709,1.4905701304462011,4.008092420948722,0.3334237337251918,3.2839217723076177,0.0,2.9392265777282085,3.596935142387232,3.968090752045256,3.14893410452634,0.01435529297707,5.061344188288391,6.376429311069923,6.938521045865967,5.155425431747197,7.170125361839952,2.6959938131099,1.4698859762744636,4.392317422778761,7.430201626359935,0.0565835283663675,0.0565835283663675,0.2387868595871164,6.364572432295856,7.836807807844575,4.015247773698937,3.468583317006828,0.8875252707415875,6.530757457461217,3.311793717753649,0.0565835283663675,5.150559676575382,0.070389327891398,5.431622959713292,0.0840642647884745,5.324090516037983,0.6507645591169022,0.070389327891398,6.787641414483327,3.363171077119244,0.0588683622943401,0.9996200233157604,0.0369024774227117,0.9998864909544052,0.0417062190355165
ACH-000009,3.63575439127776,5.088311235888661,5.914564523493939,2.204766750654613,1.3785116232537298,8.462747642807201,7.428611418467134,3.875780063068488,4.568032104771279,4.632268215499513,3.2764966656403565,0.2986583155645151,4.651338766105931,6.191996846669772,3.926948247949772,4.221877081077034,4.167518503735217,5.2712762591759255,5.381629467033664,0.4222330006830478,4.758089934201813,4.4329594072761065,3.893362210763872,2.873813198359087,4.43028527297778,0.0,3.745237332129749,3.942983598187102,0.9486008474933558,5.762348815644129,0.7484612330040357,6.059182199211692,4.448900951145128,6.133193598664106,4.266786540694901,6.685800019744892,4.111865963867557,4.23189316164533,1.7048719644563528,7.875718639117829,0.0,0.1243281350022017,2.678071905112638,4.672990993827748,7.43095427138573,5.75702324650746,5.267910280884825,0.6229303509201767,6.173127433480656,3.5801454844233804,0.0976107966264223,5.7481928495894605,0.0840642647884745,6.692092375427572,4.2964574073712445,7.003039979749236,0.070389327891398,0.1110313123887439,4.984589350362456,4.461397589926158,0.0405899337205411,0.9798278113473832,0.0066017183861917,0.9735982051138052,0.0345346019350631
ACH-000011,5.631104282365877,6.126188210522101,4.491853096329675,4.149747119504682,2.2141248053528475,5.967168607532628,4.1440463696167065,4.540399305630624,4.181897643108388,3.488000770834068,7.790315911515695,5.693208148910016,4.531693360861466,5.5163303868259375,2.007195501404204,3.303050084681673,4.878234879112339,3.559491813205038,4.154615611326894,5.973840839533145,4.078097423026661,5.004051884507083,3.463360885816658,5.887768948647899,0.0426443374084937,0.0840642647884745,4.8494989317201815,1.8237493603082728,2.711494906650088,5.128045890922992,5.689299160535892,6.738497643889787,4.575312330687437,2.611172380044005,4.989593184938768,6.47735352663456,2.448900951145128,3.24031432933371,5.827565006650136,7.697315121716246,0.2509615735332188,0.1243281350022017,3.1243281350022016,2.9726926540042644,7.59864807064981,4.560714954474479,2.711494906650088,4.896271848807375,5.986638471730853,4.789729251375769,0.070389327891398,5.725195817226664,1.280956313831056,6.438126479550952,7.45762712179055,4.627606838129649,3.075532631167357,2.797012977836145,7.421644094048272,3.775050541483175,0.0375101332987156,0.9950916330671128,0.1151129556013443,0.9205131180271932,0.1246445409867742
ACH-000012,5.620879611355415,4.042644337408494,5.903038270112912,5.844486087757799,0.1110313123887439,6.567880042052731,6.990841436516996,0.0976107966264223,4.422233000683048,3.189033824390017,8.782211963363434,0.8073549220576041,4.718635616271338,5.933808661990121,4.253232938538032,4.699329525673156,9.67350342432539,3.723558561472103,5.054414387917307,4.177917792195843,4.971313624068879,2.910732661902913,7.7772881967554595,5.259272487037594,3.831877241191673,0.6135316529179271,4.544114402209474,3.956056652412403,1.1890338243900171,5.752481004456373,1.6599245584023783,5.309612772454123,7.373126157758923,4.646738698307846,3.305970520984386,8.053654417603145,2.3476656563009706,2.114367024952,3.9763636357327616,8.145167939018386,0.2016338611696504,3.7897292513757694,3.975446765640962,2.2539892662307865,7.549592167441751,4.461397589926158,2.773996325111173,3.985500430304885,5.794675787986858,4.893362210763872,0.5558161550616396,7.641473776925701,0.1110313123887439,6.351557662450426,5.945560885993885,5.804518269888069,1.7398481026993275,0.8875252707415875,7.277426896532659,4.699329525673156,0.0837335838960561,0.9993350323435132,0.1130160447850172,0.970794973266042,0.0412349811223056
ACH-000013,7.939814257495547,4.062639828286463,4.536674617569758,2.778208576398088,0.9781956296816516,6.708739041359579,7.663059923747817,0.01435529297707,3.977279923499916,6.3995129241829645,2.405992359675837,4.181897643108388,4.169123281476757,4.305970520984387,1.2387868595871168,4.318316841334983,5.638363505897862,4.073820233291672,4.848998430400023,2.84799690655495,4.025028794491522,5.527633387290932,1.565597175854225,4.757556688939453,3.880685525261125,0.0,0.0840642647884745,2.0531113364595623,2.269033146455237,5.471187460386985,4.06177619758669,7.721441019070326,6.322829497628894,5.000901402741532,4.145677455195635,4.395062799517578,2.715893370547605,3.4905701304462013,8.273096223726276,7.46033302137883,0.2265085298086797,0.0426443374084937,6.4063325778217095,3.552131108253784,7.312882955284356,5.14649230697719,3.581351247168777,5.274261661257048,5.677508242264722,2.956056652412403,0.1110313123887439,5.9804823555382605,1.565597175854225,7.820625745672954,5.476057595677545,4.4950555283680185,0.137503523749935,0.3103401206121505,4.997292407636508,4.1034976397033365,0.03181287080567,0.9505165926354656,0.1218421945804705,0.9998613103472472,0.0239033060677588
ACH-000014,1.7990873060740036,4.919340082442012,5.345183447187665,4.454175893185802,1.570462931026041,5.892633883424437,6.114367024952,0.01435529297707,6.556429415449573,4.040892430646901,8.932037542103783,5.773468927905194,3.6599245584023774,4.409390936137702,3.363171077119244,5.646738698307846,2.7441610955704103,4.457462964648552,5.413458688007979,6.315421315945778,3.981852653289741,2.657640005207824,6.077670274232752,5.347311316365285,0.01435529297707,0.6040713236688608,0.0285691521967709,2.18269229751619,5.0716768737518585,6.045268215138534,7.48236429255538,7.71087529578098,4.4886435398537845,3.289834465177509,6.682854168572234,3.965322548367255,4.284662185483165,0.9107326619029126,2.130930869826449,7.944097082786985,0.0840642647884745,4.1034976397033365,3.3291235962915664,1.1763227726404628,8.029066318949456,5.120186027531863,3.353323291162897,4.761817142507141,5.17672169288105,4.280956313831056,1.2203299548795556,5.977279923499917,4.081510068120917,4.544732655932624,7.296182057615491,6.030115330908071,2.1473066987802936,6.541638734436141,5.608809242675524,4.280956313831056,0.0704402433493701,0.9535480320859682,0.340084617964238,0.998874504771678,0.0794332336570689
ACH-000015,0.1243281350022017,0.8718436485093178,4.28835856219366,1.3895668117627256,0.0976107966264223,4.773996325111173,5.806066226089032,4.5963388642052,5.023698917266407,4.314696525656286,1.4222330006830477,6.275007047499869,4.318316841334983,4.428276414392509,2.070389327891398,3.532316959332765,0.1110313123887439,4.356848079236522,4.770300489499416,0.2016338611696504,5.38404980679516,6.504302583163168,3.1747259877061333,2.720278465233327,0.0426443374084937,0.1110313123887439,0.0285691521967709,3.4475791965488827,0.1763227726404629,5.758889432720965,0.3334237337251918,4.778208576398088,1.4168397419128294,0.2016338611696504,4.747924416238441,6.260402093025793,0.4854268271702416,1.4222330006830477,2.400537929583729,7.923149180472309,0.2141248053528473,0.070389327891398,2.73768676140986,3.33199177823206,6.624393382219767,3.2809563138310565,2.729008870337863,0.5655971758542251,6.412781525338476,2.3362833878644325,0.8155754288625725,5.12474169241965,6.522306892871389,5.768978250344548,2.6803243568440163,5.84749588378871,2.5084286525318573,3.45022149589718,6.176322772640463,4.524189078449365,0.0124434355268074,0.9999998920233768,0.0113655393664798,0.9975668834101392,0.0512800862433577
